Customer Id,Customer Email,Customer Fname,Customer Lname,Customer Password,Customer Segment,Customer Street,Customer City,Customer State,Customer Country,Customer Zipcode
20755,XXXXXXXXX,Cally,Holloway,XXXXXXXXX,Consumer,5365 Noble Nectar Island,Caguas,PR,Puerto Rico,725.0
19492,XXXXXXXXX,Irene,Luna,XXXXXXXXX,Consumer,2679 Rustic Loop,Caguas,PR,Puerto Rico,725.0
19491,XXXXXXXXX,Gillian,Maldonado,XXXXXXXXX,Consumer,8510 Round Bear Gate,San Jose,CA,EE. UU.,95125.0
19490,XXXXXXXXX,Tana,Tate,XXXXXXXXX,Home Office,3200 Amber Bend,Los Angeles,CA,EE. UU.,90027.0
19489,XXXXXXXXX,Orli,Hendricks,XXXXXXXXX,Corporate,8671 Iron Anchor Corners,Caguas,PR,Puerto Rico,725.0
19488,XXXXXXXXX,Kimberly,Flowers,XXXXXXXXX,Consumer,2122 Hazy Corner,Tonawanda,NY,EE. UU.,14150.0
19487,XXXXXXXXX,Constance,Terrell,XXXXXXXXX,Home Office,1879 Green Pine Bank,Caguas,PR,Puerto Rico,725.0
19486,XXXXXXXXX,Erica,Stevens,XXXXXXXXX,Corporate,7595 Cotton Log Row,Miami,FL,EE. UU.,33162.0
19485,XXXXXXXXX,Nichole,Olsen,XXXXXXXXX,Corporate,2051 Dusty Route,Caguas,PR,Puerto Rico,725.0
19484,XXXXXXXXX,Oprah,Delacruz,XXXXXXXXX,Corporate,9139 Blue Blossom Court,San Ramon,CA,EE. UU.,94583.0
19483,XXXXXXXXX,Germane,Short,XXXXXXXXX,Corporate,4058 Quiet Heights,Caguas,PR,Puerto Rico,725.0
19482,XXXXXXXXX,Freya,Robbins,XXXXXXXXX,Consumer,3243 Shady Corner,Freeport,NY,EE. UU.,11520.0
19481,XXXXXXXXX,Cassandra,Jensen,XXXXXXXXX,Corporate,131 Sunny Treasure Green,Salinas,CA,EE. UU.,93905.0
19480,XXXXXXXXX,Natalie,Mcfadden,XXXXXXXXX,Corporate,2531 Wishing Square,Caguas,PR,Puerto Rico,725.0
19479,XXXXXXXXX,Kimberley,Sharpe,XXXXXXXXX,Corporate,6417 Silver Towers,Peabody,MA,EE. UU.,1960.0
19478,XXXXXXXXX,Sade,Lancaster,XXXXXXXXX,Corporate,257 Harvest Close,Caguas,PR,Puerto Rico,725.0
19477,XXXXXXXXX,Brynne,Giles,XXXXXXXXX,Corporate,7342 Hazy Beacon Park,Canovanas,PR,Puerto Rico,729.0
19476,XXXXXXXXX,Ciara,Bird,XXXXXXXXX,Corporate,7787 Lazy Corners,Paramount,CA,EE. UU.,90723.0
19475,XXXXXXXXX,Bo,Griffin,XXXXXXXXX,Consumer,5136 Rustic Pioneer Estates,Caguas,PR,Puerto Rico,725.0
19474,XXXXXXXXX,Kim,Simon,XXXXXXXXX,Consumer,1723 Tawny Via,Mount Prospect,IL,EE. UU.,60056.0
19473,XXXXXXXXX,Kellie,Farmer,XXXXXXXXX,Corporate,7111 Silent Fox Gardens,Long Beach,CA,EE. UU.,90813.0
19472,XXXXXXXXX,Alma,Conley,XXXXXXXXX,Corporate,3732 Old Mountain Bank,Caguas,PR,Puerto Rico,725.0
19471,XXXXXXXXX,Yeo,Bird,XXXXXXXXX,Corporate,6217 Rustic Lake Forest,Rancho Cordova,CA,EE. UU.,95670.0
19470,XXXXXXXXX,Lucy,Mcknight,XXXXXXXXX,Corporate,1082 Quiet Treasure Link,Caguas,PR,Puerto Rico,725.0
19469,XXXXXXXXX,Simone,Vance,XXXXXXXXX,Corporate,3176 Round Gate,Billings,MT,EE. UU.,59102.0
19468,XXXXXXXXX,Roary,Wheeler,XXXXXXXXX,Corporate,1426 Fallen Line,Caguas,PR,Puerto Rico,725.0
19467,XXXXXXXXX,Quail,Ashley,XXXXXXXXX,Consumer,9814 Emerald Prairie Limits,Wilkes Barre,PA,EE. UU.,18702.0
19466,XXXXXXXXX,Hannah,Velez,XXXXXXXXX,Corporate,8271 Tawny Elk Abbey,Caguas,PR,Puerto Rico,725.0
19465,XXXXXXXXX,Evelyn,Kelly,XXXXXXXXX,Corporate,3931 Gentle Ramp,Roseville,MI,EE. UU.,48066.0
19464,XXXXXXXXX,Jael,Mcfarland,XXXXXXXXX,Consumer,9699 Honey Rise,Bellflower,CA,EE. UU.,90706.0
19463,XXXXXXXXX,Teagan,Romero,XXXXXXXXX,Consumer,1564 Rocky Terrace,Caguas,PR,Puerto Rico,725.0
19462,XXXXXXXXX,Joan,Wilder,XXXXXXXXX,Consumer,4294 High Passage,Wheaton,IL,EE. UU.,60187.0
19461,XXXXXXXXX,Basia,Watts,XXXXXXXXX,Consumer,5918 Golden Beacon Freeway,Caguas,PR,Puerto Rico,725.0
19460,XXXXXXXXX,Dominique,Rogers,XXXXXXXXX,Consumer,3915 Broad Lookout,Detroit,MI,EE. UU.,48238.0
19459,XXXXXXXXX,Ainsley,Mathis,XXXXXXXXX,Consumer,7190 Silver Horse Glade,Dallas,TX,EE. UU.,75220.0
19458,XXXXXXXXX,Aurora,Sharp,XXXXXXXXX,Corporate,830 Broad Beacon Maze,Caguas,PR,Puerto Rico,725.0
19457,XXXXXXXXX,Libby,Bray,XXXXXXXXX,Corporate,6127 Dewy Goose Downs,Carlisle,PA,EE. UU.,17013.0
19456,XXXXXXXXX,Amy,Lindsay,XXXXXXXXX,Corporate,1188 Old Abbey,Dallas,TX,EE. UU.,75228.0
19455,XXXXXXXXX,Ivory,Parks,XXXXXXXXX,Consumer,7004 Hazy Lake Townline,Caguas,PR,Puerto Rico,725.0
19454,XXXXXXXXX,Karina,Prince,XXXXXXXXX,Consumer,2556 Umber Autoroute,Newark,DE,EE. UU.,19702.0
19453,XXXXXXXXX,Deanna,Goff,XXXXXXXXX,Consumer,3722 Thunder Cape,Panorama City,CA,EE. UU.,91402.0
19452,XXXXXXXXX,Dacey,Walters,XXXXXXXXX,Home Office,2676 Velvet Common,Caguas,PR,Puerto Rico,725.0
19451,XXXXXXXXX,Adele,Pennington,XXXXXXXXX,Home Office,833 Amber Anchor Glen,Atlanta,GA,EE. UU.,30318.0
19450,XXXXXXXXX,Sybill,Spencer,XXXXXXXXX,Home Office,830 Quaking Bear Grounds,Caguas,PR,Puerto Rico,725.0
19449,XXXXXXXXX,Kay,Sandoval,XXXXXXXXX,Consumer,1509 Middle Oak Isle,Fremont,CA,EE. UU.,94539.0
19448,XXXXXXXXX,Stacy,Mckinney,XXXXXXXXX,Corporate,9712 Fallen Robin Diversion,Caguas,PR,Puerto Rico,725.0
19447,XXXXXXXXX,Marah,Lara,XXXXXXXXX,Corporate,8665 Sunny Deer Woods,Rochester,NY,EE. UU.,14609.0
19446,XXXXXXXXX,Taylor,Wood,XXXXXXXXX,Corporate,9879 Harvest Deer Farms,Dallas,TX,EE. UU.,75211.0
9083,XXXXXXXXX,Mary,Frank,XXXXXXXXX,Home Office,75 Sunny Grounds,Bayamon,PR,Puerto Rico,957.0
4741,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,9731 Honey Fox Towers,Caguas,PR,Puerto Rico,725.0
639,XXXXXXXXX,Elizabeth,Pittman,XXXXXXXXX,Home Office,7573 Golden Treasure Centre,Caguas,PR,Puerto Rico,725.0
9702,XXXXXXXXX,Katherine,Tyler,XXXXXXXXX,Home Office,8369 Sunny Crossing,Caguas,PR,Puerto Rico,725.0
9114,XXXXXXXXX,Mary,Smith,XXXXXXXXX,Home Office,1425 Fallen Fox Arbor,Caguas,PR,Puerto Rico,725.0
1362,XXXXXXXXX,Dennis,Smith,XXXXXXXXX,Home Office,2290 Crystal Pathway,Caguas,PR,Puerto Rico,725.0
8011,XXXXXXXXX,Mary,Hill,XXXXXXXXX,Home Office,6179 Noble Panda Moor,Caguas,PR,Puerto Rico,725.0
